player_name,player_link,player_team_initials,player_country_initials,rounds_played,rating,average_combat_score,kills_deaths,kill_assist_trade_survive_percentage,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,max_kills_in_single_map,kills,deaths,team_name
florescent,www.vlr.gg/player/17976/florescent,SR,ca,269,1.49,319.4,1.74,74%,197.7,1.13,0.15,0.16,0.13,28%,21%,33,303,174,Shopify Rebellion
soulcas,www.vlr.gg/player/101/soulcas,APK,gb,233,1.42,273.5,1.70,79%,175.6,0.97,0.42,0.12,0.09,34%,7%,29,226,133,Apeks
dods,www.vlr.gg/player/25663/dods,KRÜ.B,br,210,1.34,251.1,1.45,80%,163.2,0.90,0.34,0.18,0.10,32%,33%,26,189,130,KRÜ BLAZE
conir,www.vlr.gg/player/11259/conir,KRÜ.B,cl,210,1.32,235.1,1.53,78%,155.3,0.86,0.37,0.09,0.05,30%,25%,24,181,118,KRÜ BLAZE
kaajak,www.vlr.gg/player/9554/kaajak,APK,pl,233,1.29,254.1,1.49,76%,157.5,0.93,0.20,0.22,0.10,40%,29%,26,217,146,Apeks
MaKo,www.vlr.gg/player/4462/mako,DRX,kr,234,1.28,231.9,1.35,85%,156.8,0.80,0.44,0.11,0.03,31%,4%,21,188,139,DRX
Vania,www.vlr.gg/player/20064/vania,G2.G,tr,365,1.28,233.1,1.47,79%,153.0,0.85,0.35,0.08,0.06,38%,21%,25,311,211,G2 Gozen
Cade3k,www.vlr.gg/player/3688/cade3k,TS,us,231,1.28,268.4,1.40,76%,176.7,0.95,0.23,0.16,0.11,30%,35%,25,219,156,SJSU Blue
AvovA,www.vlr.gg/player/1507/avova,APK,dk,233,1.27,200.1,1.46,82%,129.4,0.77,0.34,0.07,0.05,42%,33%,21,179,123,Apeks
kellyS,www.vlr.gg/player/7437/kellys,OAS,ph,209,1.27,270.4,1.30,79%,172.4,0.92,0.34,0.13,0.12,22%,16%,26,193,148,Oasis Gaming
alexiiik,www.vlr.gg/player/25906/alexiiik,GN,cz,327,1.26,273.1,1.38,72%,171.8,0.97,0.17,0.24,0.20,29%,21%,33,317,229,GoNext Esports
kiss,www.vlr.gg/player/31593/kiss,Dead,au,373,1.26,278.3,1.30,74%,178.8,0.93,0.20,0.23,0.18,28%,35%,27,346,266,JFT
Jinboong,www.vlr.gg/player/4052/jinboong,SG,kr,249,1.26,258.4,1.43,74%,169.1,0.93,0.20,0.14,0.10,34%,17%,28,231,161,Sengoku Gaming
kamyk,www.vlr.gg/player/1475/kamyk,JL,pl,332,1.26,236.5,1.32,78%,157.5,0.84,0.38,0.08,0.08,34%,16%,29,278,210,Joblife
Jelly,www.vlr.gg/player/21435/jelly,MIBR,br,247,1.25,246.9,1.32,79%,159.7,0.90,0.36,0.14,0.09,35%,,26,222,168,MIBR GC
PapiChulo,www.vlr.gg/player/13219/papichulo,NAOS,ph,338,1.25,202.8,1.52,79%,131.2,0.80,0.33,0.04,0.04,26%,27%,22,269,177,NAOS
aspas,www.vlr.gg/player/8480/aspas,LEV,br,320,1.25,266.1,1.46,74%,180.8,0.95,0.19,0.15,0.12,29%,14%,47,304,208,Leviatán
JuW,www.vlr.gg/player/20539/juw,AKV.GC,gt,215,1.24,267.5,1.32,77%,164.9,0.93,0.23,0.20,0.14,22%,30%,29,200,151,Akave Esports GC
Moh,www.vlr.gg/player/5600/moh,FLC,sa,907,1.23,234.6,1.38,76%,150.8,0.85,0.28,0.12,0.08,28%,17%,30,772,558,Team Falcons
PowerPixele,www.vlr.gg/player/24237/powerpixele,PP,us,343,1.23,233.8,1.32,81%,150.5,0.81,0.51,0.08,0.08,21%,30%,21,279,212,Passion Project
srN,www.vlr.gg/player/31574/srn,MIBR,br,247,1.23,275.8,1.25,76%,184.9,0.94,0.28,0.27,0.15,26%,20%,36,231,185,MIBR GC
